127.0.0.1, 2016-05-16 14:19:15, GET, /fmgqcx/default/index, HTTP/1.1, 303, 1.794245
127.0.0.1, 2016-05-16 14:19:16, GET, /fmgqcx/default/login, HTTP/1.1, 200, 0.597020
127.0.0.1, 2016-05-16 14:19:16, GET, /fmgqcx/static/js/web2py.js, HTTP/1.1, 200, 0.000396
127.0.0.1, 2016-05-16 14:19:16, GET, /fmgqcx/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003195
127.0.0.1, 2016-05-16 14:19:16, GET, /fmgqcx/static/js/calendar.js, HTTP/1.1, 200, 0.002922
127.0.0.1, 2016-05-16 14:19:16, GET, /fmgqcx/static/js/jquery.js, HTTP/1.1, 200, 0.001999
127.0.0.1, 2016-05-16 14:19:16, GET, /fmgqcx/static/css/calendar.css, HTTP/1.1, 200, 0.002652
127.0.0.1, 2016-05-16 14:19:16, GET, /fmgqcx/static/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.004449
127.0.0.1, 2016-05-16 14:19:16, GET, /fmgqcx/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000514
127.0.0.1, 2016-05-16 14:19:16, GET, /fmgqcx/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000436
127.0.0.1, 2016-05-16 14:19:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000178
127.0.0.1, 2016-05-16 14:19:25, GET, /fmgqcx/user, HTTP/1.1, 303, 0.605837
127.0.0.1, 2016-05-16 14:19:26, GET, /fmgqcx/default/login, HTTP/1.1, 200, 0.571166
127.0.0.1, 2016-05-16 14:19:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000199
127.0.0.1, 2016-05-16 14:20:59, GET, /admin, HTTP/1.1, 200, 0.253742
127.0.0.1, 2016-05-16 14:20:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000302
127.0.0.1, 2016-05-16 14:21:01, POST, /admin/default/index, HTTP/1.1, 303, 0.034369
127.0.0.1, 2016-05-16 14:21:01, GET, /admin/default/site, HTTP/1.1, 200, 0.052127
127.0.0.1, 2016-05-16 14:21:03, POST, /admin/default/check_version, HTTP/1.1, 200, 1.706686
127.0.0.1, 2016-05-16 14:21:07, GET, /admin/default/design/fmgqcx, HTTP/1.1, 200, 0.139283
127.0.0.1, 2016-05-16 14:21:07, GET, /favicon.ico, HTTP/1.1, 400, 0.001211
127.0.0.1, 2016-05-16 14:21:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000198
127.0.0.1, 2016-05-16 14:21:21, GET, /fmgqcx/appadmin/index, HTTP/1.1, 303, 0.590318
127.0.0.1, 2016-05-16 14:21:21, GET, /fmgqcx/default/login, HTTP/1.1, 200, 0.580715
127.0.0.1, 2016-05-16 14:21:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000266
127.0.0.1, 2016-05-16 14:21:31, GET, /admin/default/design/fmgqcx, HTTP/1.1, 200, 0.114079
127.0.0.1, 2016-05-16 14:21:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000186
127.0.0.1, 2016-05-16 14:21:50, GET, /fmgqcx/appadmin/index, HTTP/1.1, 200, 0.596677
127.0.0.1, 2016-05-16 14:21:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000167
127.0.0.1, 2016-05-16 14:21:51, GET, /fmgqcx/appadmin/hooks, HTTP/1.1, 200, 0.604144
127.0.0.1, 2016-05-16 14:21:54, GET, /fmgqcx/appadmin/insert/db/auth_user, HTTP/1.1, 200, 0.610674
127.0.0.1, 2016-05-16 14:21:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000198
127.0.0.1, 2016-05-16 14:22:59, POST, /fmgqcx/appadmin/insert/db/auth_user, HTTP/1.1, 200, 0.720765
127.0.0.1, 2016-05-16 14:22:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000175
127.0.0.1, 2016-05-16 14:23:15, POST, /fmgqcx/appadmin/insert/db/auth_user, HTTP/1.1, 200, 1.528905
127.0.0.1, 2016-05-16 14:23:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000188
127.0.0.1, 2016-05-16 14:23:39, POST, /fmgqcx/appadmin/insert/db/auth_user, HTTP/1.1, 200, 0.907982
127.0.0.1, 2016-05-16 14:23:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000415
127.0.0.1, 2016-05-16 14:24:34, GET, /fmgqcx/, HTTP/1.1, 303, 0.574350
127.0.0.1, 2016-05-16 14:24:35, GET, /fmgqcx/default/login, HTTP/1.1, 200, 0.596018
127.0.0.1, 2016-05-16 14:24:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000177
127.0.0.1, 2016-05-16 14:24:42, POST, /fmgqcx/default/login, HTTP/1.1, 303, 0.784161
127.0.0.1, 2016-05-16 14:24:43, GET, /fmgqcx/default/index, HTTP/1.1, 200, 0.548957
127.0.0.1, 2016-05-16 14:24:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000354
127.0.0.1, 2016-05-16 14:24:50, GET, /fmgqcx/user/index, HTTP/1.1, 500, 0.719677
127.0.0.1, 2016-05-16 14:24:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000413
127.0.0.1, 2016-05-16 14:24:52, GET, /admin/default/ticket/fmgqcx/127.0.0.1.2016-05-16.14-24-49.b44090bc-eaeb-4932-9b41-946d7f8f5fb7, HTTP/1.1, 200, 0.047134
127.0.0.1, 2016-05-16 14:24:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000232
127.0.0.1, 2016-05-16 14:25:12, GET, /fmgqcx/user/index, HTTP/1.1, 200, 0.652617
127.0.0.1, 2016-05-16 14:25:12, GET, /fmgqcx/static/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000398
127.0.0.1, 2016-05-16 14:25:12, GET, /fmgqcx/static/js/calendar.js, HTTP/1.1, 304, 0.000381
127.0.0.1, 2016-05-16 14:25:12, GET, /fmgqcx/static/js/web2py.js, HTTP/1.1, 304, 0.002544
127.0.0.1, 2016-05-16 14:25:12, GET, /fmgqcx/static/js/jquery.js, HTTP/1.1, 304, 0.003082
127.0.0.1, 2016-05-16 14:25:12, GET, /fmgqcx/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001621
127.0.0.1, 2016-05-16 14:25:12, GET, /fmgqcx/static/css/calendar.css, HTTP/1.1, 304, 0.001418
127.0.0.1, 2016-05-16 14:25:12, GET, /fmgqcx/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000335
127.0.0.1, 2016-05-16 14:25:12, GET, /fmgqcx/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000379
127.0.0.1, 2016-05-16 14:25:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000248
127.0.0.1, 2016-05-16 14:25:15, GET, /fmgqcx/user/add, HTTP/1.1, 200, 0.708348
127.0.0.1, 2016-05-16 14:25:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000293
127.0.0.1, 2016-05-16 14:26:13, POST, /fmgqcx/user/add, HTTP/1.1, 303, 0.724073
127.0.0.1, 2016-05-16 14:26:14, GET, /fmgqcx/user/index, HTTP/1.1, 200, 0.715556
127.0.0.1, 2016-05-16 14:26:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000319
127.0.0.1, 2016-05-16 14:26:23, GET, /fmgqcx/default/logout, HTTP/1.1, 303, 0.672174
127.0.0.1, 2016-05-16 14:26:23, GET, /fmgqcx/default/index, HTTP/1.1, 303, 0.543878
127.0.0.1, 2016-05-16 14:26:24, GET, /fmgqcx/default/login, HTTP/1.1, 200, 0.604744
127.0.0.1, 2016-05-16 14:26:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000178
127.0.0.1, 2016-05-16 14:26:35, POST, /fmgqcx/default/login, HTTP/1.1, 303, 0.780629
127.0.0.1, 2016-05-16 14:26:36, GET, /fmgqcx/default/index, HTTP/1.1, 200, 0.571638
127.0.0.1, 2016-05-16 14:26:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000487
127.0.0.1, 2016-05-16 14:26:40, GET, /fmgqcx/user/me, HTTP/1.1, 200, 0.575195
127.0.0.1, 2016-05-16 14:26:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000362
127.0.0.1, 2016-05-16 14:26:43, GET, /fmgqcx/default/index, HTTP/1.1, 200, 0.575234
127.0.0.1, 2016-05-16 14:26:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000190
127.0.0.1, 2016-05-16 14:50:28, GET, /fmgqcx, HTTP/1.1, 200, 0.575465
127.0.0.1, 2016-05-16 14:50:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000288
127.0.0.1, 2016-05-16 14:50:30, GET, /fmgqcx/user/me, HTTP/1.1, 200, 0.601215
127.0.0.1, 2016-05-16 14:50:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000421
127.0.0.1, 2016-05-16 14:50:33, GET, /fmgqcx, HTTP/1.1, 200, 0.986608
127.0.0.1, 2016-05-16 14:50:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000291
127.0.0.1, 2016-05-16 14:50:36, GET, /fmgqcx/default/logout, HTTP/1.1, 303, 0.675276
127.0.0.1, 2016-05-16 14:50:37, GET, /fmgqcx/default/index, HTTP/1.1, 303, 0.593233
127.0.0.1, 2016-05-16 14:50:37, GET, /fmgqcx/default/login, HTTP/1.1, 200, 0.600005
127.0.0.1, 2016-05-16 14:50:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000260
127.0.0.1, 2016-05-16 14:50:40, POST, /fmgqcx/default/login, HTTP/1.1, 303, 0.883042
127.0.0.1, 2016-05-16 14:50:41, GET, /fmgqcx/default/index, HTTP/1.1, 200, 0.634842
127.0.0.1, 2016-05-16 14:50:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000199
